,ROUTE_NUMBER,ROUTE_NAME,DIRECTION_NAME,DIRECTION_NAME_ALT,SERVICE_CODE,SERVICE_TYPE,SERVICE_CLASS,SERVICE_MODE,SORT_ORDER,STOP_ID,STOP,TRAVEL_DIRECTION,TIMEPOINT,CITY,COUNTY,TAZ,CENSUS_TRACT,AVG_DWELL_TIME,AVG_SEGMENT_MILES,AVG_PASSENGER_MILES,AVG_PASSENGERS_ON,AVG_PASSENGERS_OFF,AVG_VEHICLE_SEATS,AVG_LOAD,MAX_LOAD,MAX_LOAD_P,AVG_WHEELCHAIR,AVG_BICYCLE,AVG_KNEEL,AVG_SERVICED,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,SUM_VEHICLE_SEATS,SUM_LOAD,SUM_PASSENGER_MILES,SUM_WHEELCHAIR,SUM_FON,SUM_FOFF,SUM_RON,SUM_ROFF,SUM_BICYCLE,SUM_KNEEL,AVG_LOAD_P,TRIPS_EARLY,TRIPS_LATE,TRIPS_ONTIME,Latitude,Longitude_x,SUM_TRAFFIC_PRIORITY,LAT_ACTUAL,LON_ACTUAL,LOAD_DURATION_ALT,LOAD_DURATION,ONTIME,STOP_KEY,TRIPS_COUNT,TRIPS_GROSS,ACTUAL_DIST,stop_id,stop_code,stop_name,Longitude_y
319,13.0,Route #13,OUTBOUND,,Route #13,,,Bus,640,1236,37TH/3RD AVE,W,0,,,,,0.0055,0.1118616,0.2627725425,0,0,30.0,3,8,0.2666666667,0,0,0,0.024,0,2,1230.0,155,17.338548,0,0,2,0,0,0,0,12.0,0.0,0.0,0.0,35.00108,-85.289695,0,35.001081899999996,-85.28969617,0.0,0.0,0.0,,41,41,1.0,1236,1236,37TH + 3RD AVE,-85.2897
320,14.0,Route #14,INBOUND,,Route #14,Special,,Bus,240,1449,PALMETTO/ADMINISTRATION BLDG,N,0,,,,,0.4526804124,0.1441704,0.20882803789999999,0,0,30.0,2,13,0.43333333329999996,0,0,0,0.127,26,44,8970.0,697,100.4867688,5,26,41,0,4,0,0,7.0,0.0,0.0,0.0,35.04739,-85.293812,0,35.04738762,-85.2938126,0.0,0.0,0.0,,299,299,1.0,1449,1449,PALMETTO + ADMINISTRATION BLDG,-85.29381
321,14.0,Route #14,OUTBOUND,,Route #14,Special,,Bus,140,402,PALMETTO/CHALLENGER CENTER,S,0,,,,,0.017965517240000003,0.08656319999999999,0.13194274960000002,0,0,30.0,2,11,0.36666666670000003,0,0,0,0.036000000000000004,6,10,8940.0,731,63.27769920000001,0,6,6,0,1,0,0,8.0,0.0,0.0,0.0,35.04766,-85.29378,0,35.04766021,-85.29377776,0.0,0.0,0.0,,298,298,1.0,402,402,PALMETTO + CHALLENGER CENTER,-85.29378
322,14.0,Route #14,OUTBOUND,,Route #14,Special,,Bus,190,406,PALMETTO/MCCALLIE AVE,S,0,,,,,0.02434482759,0.10698479999999999,0.155039277,0,0,30.0,2,11,0.36666666670000003,0,0,0,0.127,19,32,8940.0,695,74.35443599999999,0,19,26,0,10,0,0,7.0,0.0,0.0,0.0,35.04398,-85.29571800000001,0,35.04398145,-85.29571276,0.0,0.0,0.0,,298,298,2.0,406,406,PALMETTO + MCCALLIE AVE,-85.29571999999999
323,15.0,Route #15,INBOUND,,Route #15,,,Bus,100,472,BROAD/WENDYS,N,0,,,,,0.0,0.5407152,0.9119588745,0,0,30.0,2,7,0.23333333329999997,0,0,0,0.0,0,0,630.0,57,30.8207664,0,0,0,0,0,0,0,9.0,0.0,0.0,0.0,35.02015,-85.32072,0,35.020148999999996,-85.320717,0.0,0.0,0.0,,21,21,1.0,472,472,BROAD + WENDYS,-85.32072
324,15.0,Route #15,INBOUND,,Route #15,,,Bus,120,474,BROAD/27TH,N,0,,,,,0.00380952381,0.2218944,0.3611111111,0,0,30.0,2,6,0.2,0,0,0,0.047,0,1,630.0,55,12.204191999999999,0,0,1,0,0,0,0,8.0,0.0,0.0,0.0,35.02563,-85.31773199999999,0,35.02563371,-85.3177351,0.0,0.0,0.0,,21,21,2.0,474,474,BROAD + 27TH,-85.31773000000001
325,15.0,Route #15,INBOUND,,Route #15,,,Bus,140,1415,BROAD/25TH,N,0,,,,,0.0,0.4974335999999999,0.7818181818000001,0,0,30.0,2,6,0.2,0,0,0,0.0,0,0,510.0,43,21.3896448,0,0,0,0,0,0,0,8.0,0.0,0.0,0.0,35.02832,-85.316238,0,35.02832,-85.316238,0.0,0.0,0.0,,17,17,0.0,1415,1415,BROAD + 25TH,-85.31624000000001
326,15.0,Route #15,INBOUND,,Route #15,,,Bus,150,476,BROAD/21ST,N,0,,,,,0.0,0.21945599999999998,0.3441558442,0,0,30.0,2,6,0.2,0,0,0,0.095,0,2,630.0,53,11.631167999999999,1,0,2,0,0,0,0,8.0,0.0,0.0,0.0,35.03235,-85.31395,0,35.032348999999996,-85.31395,0.0,0.0,0.0,,21,21,0.0,476,476,BROAD + 21ST,-85.31395
327,15.0,Route #15,OUTBOUND,,Route #15,,,Bus,250,430,BROAD/20TH,S,0,,,,,0.001428571429,0.1152144,0.2284090909,0,0,30.0,3,8,0.2666666667,0,0,0,0.0,0,0,630.0,67,7.7193648,0,0,0,0,0,0,0,10.0,0.0,0.0,0.0,35.03366,-85.313488,0,35.033659,-85.31348619,0.0,0.0,0.0,,21,21,1.0,430,430,BROAD + 20TH,-85.31349
328,15.0,Route #15,OUTBOUND,,Route #15,,,Bus,260,1410,BROAD/21ST,S,0,,,,,0.0,0.50292,0.9970238095,0,0,30.0,3,8,0.2666666667,0,0,0,0.0,0,0,630.0,67,33.695640000000004,0,0,0,0,0,0,0,10.0,0.0,0.0,0.0,35.03275,-85.31410799999999,0,35.032749,-85.31411,0.0,0.0,0.0,,21,21,1.0,1410,1410,BROAD + 21ST,-85.31411
329,15.0,Route #15,OUTBOUND,,Route #15,,,Bus,300,434,BROAD/28TH,S,0,,,,,0.0061904761899999996,0.477012,0.9456619769,0,0,30.0,3,7,0.23333333329999997,0,0,0,0.047,2,0,630.0,67,31.959804,0,2,0,0,0,0,0,10.0,0.0,0.0,0.0,35.02497,-85.31830500000001,0,35.02496138,-85.318314,0.0,0.0,0.0,,21,21,4.0,434,434,BROAD + 28TH,-85.31831
330,15.0,Route #15,OUTBOUND,,Route #15,,,Bus,340,1411,BROAD/33RD,S,0,,,,,0.0,0.0932688,0.1821428571,0,0,30.0,3,7,0.23333333329999997,0,0,0,0.0,0,0,630.0,66,6.155740799999999,0,0,0,0,0,0,0,10.0,0.0,0.0,0.0,35.01789,-85.322183,0,35.017891,-85.322182,0.0,0.0,0.0,,21,21,0.0,1411,1411,BROAD + 33RD,-85.32218
331,15.0,Route #15,OUTBOUND,,Route #15,,,Bus,400,440,ST ELMO/41ST,S,0,,,,,0.0,0.20543520000000004,0.3707972583,0,0,30.0,2,6,0.2,0,0,0,0.0,0,0,630.0,61,12.531547199999999,0,0,0,0,0,0,0,9.0,0.0,0.0,0.0,35.00674,-85.328683,0,35.006741,-85.328682,0.0,0.0,0.0,,21,21,0.0,440,440,ST ELMO + 41ST,-85.32868
332,15.0,Route #15,OUTBOUND,,Route #15,,,Bus,530,452,55TH/ALABAMA,S,0,,,,,0.1857142857,0.169164,0.23525432899999998,0,0,30.0,2,4,0.1333333333,0,0,0,0.0,0,0,630.0,47,7.9507080000000006,0,0,0,0,0,0,0,7.0,0.0,0.0,0.0,34.98845,-85.332737,0,34.98843376,-85.33275443,0.0,0.0,0.0,,21,21,8.0,451,451,ST ELMO + 55TH,-85.33121
