ROUTE_NUMBER,ROUTE_NAME,DIRECTION_NAME,DIRECTION_NAME_ALT,SERVICE_CODE,SERVICE_TYPE,SERVICE_CLASS,SERVICE_MODE,SORT_ORDER,STOP_ID,STOP,TRAVEL_DIRECTION,TIMEPOINT,CITY,COUNTY,TAZ,CENSUS_TRACT,AVG_DWELL_TIME,AVG_SEGMENT_MILES,AVG_PASSENGER_MILES,AVG_PASSENGERS_ON,AVG_PASSENGERS_OFF,AVG_VEHICLE_SEATS,AVG_LOAD,MAX_LOAD,MAX_LOAD_P,AVG_WHEELCHAIR,AVG_BICYCLE,AVG_KNEEL,AVG_SERVICED,SUM_PASSENGERS_ON,SUM_PASSENGERS_OFF,SUM_VEHICLE_SEATS,SUM_LOAD,SUM_PASSENGER_MILES,SUM_WHEELCHAIR,SUM_FON,SUM_FOFF,SUM_RON,SUM_ROFF,SUM_BICYCLE,SUM_KNEEL,AVG_LOAD_P,TRIPS_EARLY,TRIPS_LATE,TRIPS_ONTIME,Latitude,Longitude,SUM_TRAFFIC_PRIORITY,LAT_ACTUAL,LON_ACTUAL,LOAD_DURATION_ALT,LOAD_DURATION,ONTIME,STOP_KEY,TRIPS_COUNT,TRIPS_GROSS,ACTUAL_DIST
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,380,112,37TH/CALVIN DONALDSON,W,0,,,,,0.004,0.138684,0.4242424242,0,0,30,4,16,0.5,0,0,0,0.179,49,10,4720,768,106.509312,0,49,8,0,2,0,0,16,0,0,0,35.010062,-85.318655,0,35.01006255,-85.31865415,0,0,0,,156,156,0
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,390,113,PIROLA/37TH,W,0,,,,,0.03573333333,0.1658112,0.5197746698,0,0,30,5,16,0.5,0,0,0,0.083,20,1,4720,787,130.4934144,0,20,0,0,1,0,0,16,0,0,0,35.01059,-85.320022,0,35.01057789,-85.31998731,0,0,0,,156,156,11
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,400,114,PIROLA/38TH,S,0,,,,,0.01350649351,0.1228344,0.3928819444,0,0,30,5,17,0.53125,0,0,0,0.096,17,1,4720,803,98.6360232,0,17,1,0,0,0,0,17,0,0,0,35.009385,-85.320912,0,35.0093872,-85.3209194,0,0,0,,156,156,2
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,410,115,PIROLA/POST OFFICE,S,0,,,,,0.007792207792,0.1252728,0.4001821096,0,0,30,5,17,0.53125,0,0,0,0.032,4,5,4720,802,100.4687856,0,4,5,0,0,0,0,16,0,0,0,35.008372,-85.321468,0,35.00837419,-85.32146632,0,0,0,,156,156,1
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,420,116,40TH/SOUTHSIDE REC,W,0,,,,,0.01266233766,0.123444,0.3987652972,0,0,30,5,17,0.53125,0,0,0,0.044,9,0,4720,811,100.113084,0,9,0,0,0,0,0,17,0,0,0,35.008213,-85.322787,0,35.00821446,-85.32277659,0,0,0,,156,156,3
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,430,1912,40TH/TEACHER PL,W,0,,,,,0,0.1033272,0.3341928904,0,0,30,5,17,0.53125,0,0,0,0.006,2,1,4720,812,83.9016864,0,2,1,0,0,0,0,17,0,0,0,35.008167,-85.324138,0,35.008167,-85.324135,0,0,0,,156,156,1
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,440,118,40TH/BEN MILLER PK,W,0,,,,,0,0.193548,0.667625777,0,0,30,5,17,0.53125,0,0,0,0.429,142,88,4720,866,167.612568,14,142,56,0,23,0,0,18,0,0,0,35.008127,-85.325267,0,35.008125,-85.325264,0,0,0,,156,156,1
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,450,1913,40TH/TENNESSEE AVE,W,0,,,,,0.004,0.9323832,3.112181915,0,0,30,5,17,0.53125,0,0,0,0.256,68,96,4720,838,781.3371216,7,68,36,0,39,0,0,17,0,0,0,35.008095,-85.327302,0,35.008114,-85.32728991,0,0,0,,156,156,8
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,460,100244,FOOCIT,X,-1,,,,,0.0844,,,0,0,30,5,17,0.53125,0,0,0,0,0,0,4720,838,,0,0,0,0,0,0,0,17,,,,35.010634,-85.325823,0,35.01996762,-85.32020391,0,0,,,156,156,3800
1.4,Route #1 am HC:1,INBOUND,,Route #1,,,Bus,470,44,BI LO/BI LO STOP,W,0,,,,,,0.1524,0.5086926962,0,0,30,5,17,0.53125,0,0,0,0,0,0,4720,838,127.7112,0,0,0,0,0,0,0,17,0,0,0,35.010633,-85.325823,0,,,0,0,0,,156,156,
